Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageTimeWorking,Holidays,AverageInTime,AverageOutTime,WorkingTimeEval
45,No,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0.0,13,8,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,8.403611111111111,20,9.99388888888889,18.3975,1
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,8,2,16.0,2,15,10,11,3,3,0.0,4.0,3.0,7.069166666666667,20,9.997777777777777,17.066944444444445,0
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,8,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,9.301388888888889,32,10.018611111111111,19.32,2
47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,8,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,9.4,26,10.00361111111111,19.40361111111111,2
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,8,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,6.089722222222222,20,10.008333333333333,16.098055555555554,0
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,8,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,6.705277777777778,24,10.007222222222222,16.7125,0
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,8,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,6.619166666666667,34,10.03888888888889,16.658055555555556,0
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,8,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,11.014166666666666,15,10.008055555555556,21.022222222222222,2
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,8,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,6.960555555555556,29,9.988611111111112,16.949166666666667,0
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,8,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,9.293611111111112,30,10.030833333333334,19.324444444444445,2
26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,8,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,7.590833333333333,29,9.99388888888889,17.584722222222222,0
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,8,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,6.008611111111111,28,9.988333333333333,15.996944444444445,0
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,8,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,8.401944444444444,29,10.003333333333334,18.405277777777776,1
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,8,0,0.0,4,20,11,6,1,3,2.0,3.0,3.0,6.8069444444444445,19,9.99638888888889,16.803333333333335,0
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,8,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,7.093333333333334,30,9.971111111111112,17.064444444444444,0
55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,8,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,9.361944444444445,20,10.026388888888889,19.388333333333332,2
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,8,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,10.977222222222222,22,10.004722222222222,20.981944444444444,2
37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,8,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,7.604444444444445,25,9.991944444444444,17.59638888888889,0
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,8,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,10.977777777777778,18,10.016388888888889,20.99416666666667,2
38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,8,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,6.831111111111111,31,9.992222222222223,16.823333333333334,0
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,8,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,10.109444444444444,23,10.005,20.114444444444445,2
28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,8,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,6.709722222222222,19,9.9775,16.68722222222222,0
49,No,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,8,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,10.518333333333333,27,10.008333333333333,20.526666666666667,2
36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,8,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,6.183055555555556,18,9.971111111111112,16.154166666666665,0
31,No,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,8,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,6.586666666666667,21,10.034444444444444,16.621111111111112,0
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1.0,12,8,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,10.2725,29,9.946944444444444,20.219444444444445,2
37,No,Travel_Frequently,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1.0,14,8,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,9.982777777777779,19,10.008333333333333,19.99111111111111,2
42,No,Travel_Frequently,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5.0,13,8,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,5.979722222222223,31,10.012777777777778,15.9925,0
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1.0,14,8,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,6.775833333333333,34,9.99388888888889,16.76972222222222,0
35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0.0,19,8,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,7.69,22,10.029722222222222,17.719722222222224,0
36,No,Travel_Frequently,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4.0,12,8,2,4.0,2,1,0,0,2,3,3.0,0.0,3.0,7.204722222222222,17,10.038611111111111,17.243333333333332,0
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,8,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,7.594722222222222,26,10.0525,17.647222222222222,0
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1.0,12,8,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,6.9525,19,10.001666666666667,16.954166666666666,0
18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1.0,15,8,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,7.0088888888888885,21,9.960833333333333,16.969722222222224,0
28,No,Travel_Rarely,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0.0,23,8,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,7.201388888888889,17,9.97861111111111,17.18,0
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4.0,12,8,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,7.172777777777778,21,10.011944444444444,17.184722222222224,0
39,No,Travel_Rarely,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0.0,20,8,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,7.636388888888889,26,9.983333333333333,17.619722222222222,0
36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7.0,21,8,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,7.832777777777777,24,10.00361111111111,17.836388888888887,0
32,No,Travel_Rarely,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1.0,21,8,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,6.974722222222222,34,10.020833333333334,16.995555555555555,0
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3.0,19,8,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,6.9063888888888885,33,9.991111111111111,16.8975,0
58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,8,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,10.895277777777778,19,9.9925,20.887777777777778,2
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0.0,13,8,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,9.125833333333333,24,9.992222222222223,19.118055555555557,2
31,No,Travel_Rarely,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3.0,21,8,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,6.831666666666667,22,9.988055555555556,16.81972222222222,0
45,No,Travel_Frequently,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1.0,13,8,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,7.315833333333333,25,10.005555555555556,17.32138888888889,0
31,No,Travel_Rarely,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0.0,19,8,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,8.610555555555555,17,10.006388888888889,18.616944444444446,1
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6.0,12,8,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,6.784722222222222,24,10.003055555555555,16.787777777777777,0
39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1.0,22,8,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,10.98638888888889,16,10.026388888888889,21.012777777777778,2
43,No,Travel_Frequently,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0.0,15,8,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,7.686388888888889,34,10.005833333333333,17.692222222222224,0
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7.0,22,8,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,9.948888888888888,18,10.011666666666667,19.960555555555555,2
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2.0,18,8,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,7.905555555555556,22,9.975833333333334,17.88138888888889,0
27,No,Travel_Rarely,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1.0,22,8,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,10.6725,17,9.992222222222223,20.664722222222224,2
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1.0,11,8,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,10.495833333333334,22,10.010277777777778,20.50611111111111,2
27,No,Travel_Rarely,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1.0,12,8,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,10.069166666666666,30,10.0175,20.086666666666666,2
31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,8,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,6.607222222222222,18,9.990555555555556,16.59777777777778,0
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7.0,13,8,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,7.497777777777777,24,9.99638888888889,17.49416666666667,0
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5.0,14,8,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,10.727222222222222,14,10.015555555555556,20.74277777777778,2
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1.0,13,8,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,6.184444444444445,29,10.004722222222222,16.189166666666665,0
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1.0,17,8,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,6.609444444444445,34,10.019444444444444,16.628888888888888,0
39,No,Travel_Frequently,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1.0,13,8,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,6.076388888888889,33,10.028055555555556,16.104444444444443,0
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4.0,17,8,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,9.971666666666666,15,9.999166666666667,19.970833333333335,2
33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3.0,11,8,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,7.421388888888889,19,10.010277777777778,17.43166666666667,0
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4.0,23,8,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,6.493611111111111,18,10.0175,16.511111111111113,0
43,No,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1.0,17,8,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,6.299166666666666,26,10.033333333333333,16.3325,0
27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0.0,17,8,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,9.317222222222222,30,10.035833333333333,19.353055555555557,2
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3.0,12,8,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,6.097777777777778,29,10.005277777777778,16.103055555555557,0
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8.0,23,8,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,7.217222222222222,23,10.024444444444445,17.241666666666667,0
45,No,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9.0,14,8,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,7.1,19,10.011388888888888,17.11138888888889,0
40,No,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2.0,14,8,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,9.91388888888889,30,10.009444444444444,19.923333333333332,2
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1.0,13,8,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,10.477777777777778,31,9.986944444444445,20.46472222222222,2
29,No,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0.0,22,8,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,6.906944444444444,22,10.009722222222223,16.916666666666668,0
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1.0,12,8,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,7.588888888888889,29,9.989166666666666,17.578055555555554,0
27,No,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1.0,18,8,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,6.08,17,9.994166666666667,16.074166666666667,0
37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,8,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,6.001111111111111,25,9.998333333333333,15.999444444444444,0
38,No,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,8,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,8.982777777777779,19,10.0275,19.010277777777777,1
31,No,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1.0,15,8,1,11.0,5,11,4,10,3,3,3.0,4.0,0.0,10.426111111111112,23,9.978333333333333,20.404444444444444,2
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1.0,11,8,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,8.3875,17,9.97888888888889,18.36638888888889,1
35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0.0,13,8,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,7.912222222222222,28,9.957777777777778,17.87,0
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,8,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,7.105277777777777,24,10.018333333333333,17.12361111111111,0
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6.0,19,8,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,9.688333333333333,22,10.016111111111112,19.704444444444444,2
47,No,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3.0,16,8,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,7.770555555555555,22,9.988888888888889,17.759444444444444,0
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2.0,22,8,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,6.284166666666667,24,10.001111111111111,16.28527777777778,0
29,No,Non-Travel,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1.0,22,8,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0,6.306111111111111,28,10.018055555555556,16.324166666666667,0
42,No,Travel_Rarely,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0.0,12,8,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0,8.831388888888888,33,10.015,18.84638888888889,1
32,No,Travel_Rarely,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1.0,13,8,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0,7.722222222222222,30,10.001666666666667,17.72388888888889,0
48,No,Travel_Rarely,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3.0,16,8,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0,7.3175,28,9.976666666666667,17.294166666666666,0
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4.0,12,8,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0,10.79861111111111,14,9.979166666666666,20.77777777777778,2
30,No,Non-Travel,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7.0,21,8,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0,10.401111111111112,16,9.971666666666666,20.372777777777777,2
26,No,Travel_Rarely,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1.0,15,8,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,5.9944444444444445,18,9.995833333333334,15.990277777777777,0
42,No,Travel_Rarely,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3.0,13,8,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0,6.1130555555555555,22,9.987777777777778,16.100833333333334,0
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1.0,12,8,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0,8.133333333333333,17,9.999722222222223,18.133055555555554,1
36,No,Non-Travel,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4.0,22,8,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0,7.306111111111111,29,9.972777777777777,17.27888888888889,0
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4.0,13,8,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0,7.105,23,9.994166666666667,17.099166666666665,0
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,103,Male,5,Research Scientist,Married,191610,2.0,18,8,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0,6.3277777777777775,26,10.006388888888889,16.33416666666667,0
40,No,Travel_Rarely,Research & Development,8,3,Other,104,Male,2,Sales Executive,Married,50870,3.0,14,8,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0,8.128333333333334,28,10.001388888888888,18.129722222222224,1
21,No,Non-Travel,Research & Development,1,5,Life Sciences,105,Female,2,Manager,Single,28630,1.0,14,8,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0,7.9863888888888885,32,9.989444444444445,17.975833333333334,0
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,106,Female,5,Manager,Single,55610,1.0,21,8,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0,10.509444444444444,30,10.013055555555555,20.5225,2
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,107,Male,4,Research Scientist,Married,21440,6.0,19,8,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0,7.993333333333333,30,10.007777777777777,18.00111111111111,0
46,No,Non-Travel,Sales,2,4,Marketing,108,Female,2,Laboratory Technician,Married,30650,2.0,11,8,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0,6.103611111111111,33,9.996944444444445,16.100555555555555,0
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,109,Female,1,Research Scientist,Single,28100,1.0,11,8,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0,7.587777777777778,28,9.997222222222222,17.585,0
50,No,Travel_Rarely,Research & Development,9,3,Medical,110,Female,3,Laboratory Technician,Single,98880,6.0,15,8,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0,6.8902777777777775,31,9.991388888888888,16.881666666666668,0
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,111,Female,1,Healthcare Representative,Married,86280,2.0,20,8,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,9.295833333333333,27,9.97861111111111,19.274444444444445,2
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,112,Male,4,Human Resources,Single,28670,0.0,24,8,0,3.0,5,2,2,2,3,4,0.0,2.0,3.0,10.806111111111111,15,9.983055555555556,20.789166666666667,2
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730,1.0,12,8,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0,5.995277777777778,31,10.005,16.00027777777778,0
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,114,Female,2,Research Director,Single,66670,9.0,12,8,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0,7.788611111111111,16,10.007777777777777,17.796388888888888,0
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,115,Female,3,Sales Executive,Single,50030,9.0,15,8,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0,7.717777777777778,25,9.983888888888888,17.701666666666668,0
27,No,Travel_Rarely,Sales,2,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670,0.0,12,8,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0,6.189166666666667,27,9.999166666666667,16.188333333333333,0
28,No,Travel_Rarely,Research & Development,2,2,Medical,117,Male,3,Manager,Single,28580,1.0,12,8,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0,7.120833333333334,29,9.963611111111112,17.084444444444443,0
49,No,Travel_Rarely,Sales,2,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040,8.0,14,8,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0,7.825277777777778,21,9.991111111111111,17.816388888888888,0
